  Frequency            , DB(V(N00099)-V(N00103)), DB(V(N00115)-V(N00119)), DB(V(N00107)-V(N00111)), DB(V(N00123)-V(N00131)), DB((V(N00115)-V(N00119))/(V(N00099)-V(N00103))), DB((V(N00123)-V(N00131))/(V(N00107)-V(N00111)))
  1.333521432163e+08  ,-6.392755811716e+00  ,-6.320552857261e+01  ,-6.601437075488e+00  ,-7.128937245174e+01  ,-5.681277276089e+01  ,-6.468793537626e+01  
  1.341219935405e+08  ,-6.385981524516e+00  ,-6.313176090313e+01  ,-6.590789936663e+00  ,-7.120826411046e+01  ,-5.674577937862e+01  ,-6.461747417379e+01  
  1.348962882592e+08  ,-6.379106671081e+00  ,-6.305766767749e+01  ,-6.580044189057e+00  ,-7.112638011115e+01  ,-5.667856100641e+01  ,-6.454633592209e+01  
  1.356750530300e+08  ,-6.372128882955e+00  ,-6.298323117547e+01  ,-6.569198961785e+00  ,-7.104374414452e+01  ,-5.661110229252e+01  ,-6.447454518273e+01  
  1.364583136589e+08  ,-6.365045891229e+00  ,-6.290843395567e+01  ,-6.558253370169e+00  ,-7.096037852524e+01  ,-5.654338806444e+01  ,-6.440212515507e+01  
  1.372460961008e+08  ,-6.357855520332e+00  ,-6.283325883954e+01  ,-6.547206517128e+00  ,-7.087630424363e+01  ,-5.647540331920e+01  ,-6.432909772650e+01  
  1.380384264603e+08  ,-6.350555680343e+00  ,-6.275768890080e+01  ,-6.536057492044e+00  ,-7.079154102104e+01  ,-5.640713322046e+01  ,-6.425548352900e+01  
  1.388353309929e+08  ,-6.343144360745e+00  ,-6.268170744753e+01  ,-6.524805370693e+00  ,-7.070610735407e+01  ,-5.633856308679e+01  ,-6.418130198338e+01  
  1.396368361056e+08  ,-6.335619623804e+00  ,-6.260529801253e+01  ,-6.513449214589e+00  ,-7.062002056636e+01  ,-5.626967838872e+01  ,-6.410657135177e+01  
  1.404429683578e+08  ,-6.327979598855e+00  ,-6.252844433879e+01  ,-6.501988070921e+00  ,-7.053329684853e+01  ,-5.620046473994e+01  ,-6.403130877761e+01  
  1.412537544623e+08  ,-6.320222475426e+00  ,-6.245113036307e+01  ,-6.490420972136e+00  ,-7.044595130459e+01  ,-5.613090788764e+01  ,-6.395553033246e+01  
  1.420692212860e+08  ,-6.312346498663e+00  ,-6.237334020830e+01  ,-6.478746935765e+00  ,-7.035799799222e+01  ,-5.606099370963e+01  ,-6.387925105646e+01  
  1.428893958511e+08  ,-6.304349963570e+00  ,-6.229505816971e+01  ,-6.466964963820e+00  ,-7.026944996410e+01  ,-5.599070820614e+01  ,-6.380248500028e+01  
  1.437143053356e+08  ,-6.296231210219e+00  ,-6.221626870217e+01  ,-6.455074042305e+00  ,-7.018031929902e+01  ,-5.592003749195e+01  ,-6.372524525672e+01  
  1.445439770746e+08  ,-6.287988619154e+00  ,-6.213695640979e+01  ,-6.443073141174e+00  ,-7.009061714700e+01  ,-5.584896779063e+01  ,-6.364754400583e+01  
  1.453784385608e+08  ,-6.279620606307e+00  ,-6.205710603321e+01  ,-6.430961213792e+00  ,-7.000035375515e+01  ,-5.577748542690e+01  ,-6.356939254136e+01  
  1.462177174457e+08  ,-6.271125619534e+00  ,-6.197670244118e+01  ,-6.418737196636e+00  ,-6.990953850399e+01  ,-5.570557682165e+01  ,-6.349080130736e+01  
  1.470618415405e+08  ,-6.262502134625e+00  ,-6.189573061695e+01  ,-6.406400008440e+00  ,-6.981817993594e+01  ,-5.563322848233e+01  ,-6.341177992750e+01  
  1.479108388168e+08  ,-6.253748651778e+00  ,-6.181417565105e+01  ,-6.393948550723e+00  ,-6.972628578639e+01  ,-5.556042699927e+01  ,-6.333233723566e+01  
  1.487647374080e+08  ,-6.244863692487e+00  ,-6.173202272939e+01  ,-6.381381706365e+00  ,-6.963386300889e+01  ,-5.548715903691e+01  ,-6.325248130252e+01  
  1.496235656095e+08  ,-6.235845794744e+00  ,-6.164925712217e+01  ,-6.368698339903e+00  ,-6.954091780075e+01  ,-5.541341132743e+01  ,-6.317221946085e+01  
  1.504873518803e+08  ,-6.226693512857e+00  ,-6.156586417725e+01  ,-6.355897297253e+00  ,-6.944745562875e+01  ,-5.533917066439e+01  ,-6.309155833150e+01  
  1.513561248436e+08  ,-6.217405412495e+00  ,-6.148182930790e+01  ,-6.342977403816e+00  ,-6.935348124897e+01  ,-5.526442389540e+01  ,-6.301050384516e+01  
  1.522299132881e+08  ,-6.207980069236e+00  ,-6.139713798587e+01  ,-6.329937466283e+00  ,-6.925899873061e+01  ,-5.518915791663e+01  ,-6.292906126432e+01  
  1.531087461682e+08  ,-6.198416065948e+00  ,-6.131177572844e+01  ,-6.316776270036e+00  ,-6.916401147438e+01  ,-5.511335966249e+01  ,-6.284723520435e+01  
  1.539926526060e+08  ,-6.188711991253e+00  ,-6.122572809531e+01  ,-6.303492580718e+00  ,-6.906852222908e+01  ,-5.503701610406e+01  ,-6.276502964836e+01  
  1.548816618913e+08  ,-6.178866436352e+00  ,-6.113898067063e+01  ,-6.290085141779e+00  ,-6.897253311021e+01  ,-5.496011423427e+01  ,-6.268244796843e+01  
  1.557758034832e+08  ,-6.168877993890e+00  ,-6.105151906230e+01  ,-6.276552675506e+00  ,-6.887604561451e+01  ,-5.488264106841e+01  ,-6.259949293901e+01  
  1.566751070108e+08  ,-6.158745257004e+00  ,-6.096332889095e+01  ,-6.262893882261e+00  ,-6.877906063495e+01  ,-5.480458363395e+01  ,-6.251616675269e+01  
